Date,open,high,low,close,volumn,amt,avgprice,preClose,return,Turnover,PB,PE,Market,AvgMarket,AmountPCT,Dividend
2009/6/18,1503.6,1513.53,1496.8,1507.56,477000000,4154000000,9.81,1499.32,0.0055,0.0322,3.83,64.27,1285.07,26.77,0.0217,0.0051
2009/6/19,1504.87,1535.26,1502.08,1526.4,598000000,5342000000,9.91,1507.56,0.0125,0.0402,3.89,65.19,1309.62,27.28,0.027,0.005
2009/6/22,1533.06,1534.83,1511.58,1519.64,490000000,4126000000,9.82,1526.4,-0.0044,0.0327,3.88,62.02,1310.36,26.74,0.022,0.005
2009/6/23,1505.71,1529.42,1501.09,1519.25,497000000,4381000000,9.83,1519.64,-0.0003,0.0332,3.87,62.01,1310.02,26.74,0.0248,0.005
2009/6/24,1520.51,1533.27,1513.5,1532.36,495000000,4301000000,9.9,1519.25,0.0086,0.0331,3.91,62.54,1321.33,26.97,0.0232,0.005
2009/6/25,1535.78,1536.13,1514,1521.65,476000000,4039000000,9.86,1532.36,-0.007,0.0318,3.88,62.09,1311.73,26.77,0.0235,0.0053
2009/6/26,1523.87,1541.68,1523.87,1540.61,582000000,4557000000,10,1521.65,0.0125,0.0389,3.93,62.86,1328.07,27.1,0.0299,0.0052
2009/6/29,1548.05,1561.25,1545.14,1548.85,629000000,4979000000,10.03,1540.61,0.0053,0.042,3.95,63.67,1335.18,27.25,0.0281,0.0052
2009/6/30,1550.43,1550.77,1527.29,1533.09,523000000,4460000000,9.96,1548.85,-0.0102,0.0349,3.91,63.09,1325.18,27.04,0.0251,0.0053
2009/7/1,1534.81,1546.59,1533.74,1546.59,543000000,4534000000,10.01,1533.09,0.0088,0.0362,3.94,63.65,1336.85,27.28,0.0229,0.0052
2009/7/2,1550.58,1575.81,1546.43,1569.25,595000000,5592000000,10.17,1546.59,0.0147,0.0397,4,64.58,1356.44,27.68,0.0248,0.0049
2009/7/3,1562.53,1620.01,1559.88,1607.34,916000000,9379000000,10.4,1569.25,0.0243,0.0611,4.05,66.15,1389.37,28.35,0.0401,0.0048
2009/7/6,1606.96,1609.88,1578.71,1595.63,589000000,5436000000,10.3,1607.34,-0.0073,0.0392,4.01,65.66,1379.1,28.14,0.0209,0.0049
2009/7/7,1589.92,1605.71,1583.92,1592.77,616000000,5682000000,10.28,1595.63,-0.0018,0.0411,3.96,64.56,1374.56,28.05,0.0234,0.005
2009/7/8,1583.13,1620.55,1581.7,1617.5,640000000,5774000000,10.45,1592.77,0.0155,0.0426,4.06,66.45,1395.9,28.49,0.0267,0.0048
2009/7/9,1613.91,1633.7,1613.33,1633.7,653000000,5867000000,10.59,1617.5,0.01,0.0435,4.1,67.12,1409.88,28.77,0.0236,0.0048
2009/7/10,1631.8,1644.9,1627.47,1638.05,607000000,5594000000,10.62,1633.7,0.0027,0.0404,4.11,67.28,1413.28,28.84,0.0231,0.005
